Time_created,Tweet,Processed_Tweets,Tweets_Adjectives,Tweets_Sentiments
2022-01-23 23:59:59+00:00,b'RT @sherloNft: \xf0\x9f\x91\x91 #NFTgiveaway \xf0\x9f\x91\x91\n\nI partnered up with @army_aztec to give away:\n\n\xf0\x9f\x8e\x811x FREE NFT\n\xf0\x9f\x8f\x8610 EXCLUSIVE WHITELIST SPOTS !\n\nEntry:\n\n1\xef\xb8\x8f\xe2\x83\xa3Fo\xe2\x80\xa6',partnered give away free exclusive spots,free exclusive,partnered give away free exclusive spot
2022-01-23 23:59:59+00:00,"b""RT @ZitoFN_: Introducing Medicated Mice! \xf0\x9f\x90\xad\n\nWe're giving away 100x Whitelists and 0.5 ETH. \xf0\x9f\x94\xa5 \n\nTo Enter \xe2\xa4\xb5\xef\xb8\x8f:\n\xe2\x80\xa2 Follow @MedicatedMice\n\xe2\x80\xa2 Turn\xe2\x80\xa6""",'' introducing mice giving away enter follow '',,'' introducing mouse giving away enter follow ``
2022-01-23 23:59:59+00:00,b'RT @JackedApeClub: We\xe2\x80\x99ve partnered up with Crypto Hippos for a HUGE giveaway! \xf0\x9f\x8e\x89\n\nPrizes \xf0\x9f\x8e\x81\n\xf0\x9f\x91\x89$500 in ETH\n\xf0\x9f\x91\x892 of their NFT\xe2\x80\x99s ($400)\n\xf0\x9f\x91\x895 @jackeda\xe2\x80\xa6',partnered huge giveaway,huge,partnered huge giveaway
2022-01-23 23:59:59+00:00,b'RT @sebbbyseb: Women in the NFT space is not a #trend but a #movement. @WomenriseNFT @thedivinenft Be part of the #movement. https://t.co/d\xe2\x80\xa6',women space trend movement part movement,,woman space trend movement part movement
2022-01-23 23:59:59+00:00,"b'RT @GeometricZen: METAVERSE\n\nIs Metaverse the next Big Thing ?\nYes, it is.\n\nhttps://t.co/rgDKTPEpXY\n\n#metverse #innovation #blockchain #fut\xe2\x80\xa6'",next big thing innovation,next big,next big thing innovation
2022-01-23 23:59:59+00:00,"b'RT @BACC3000: 1 Bored Ape Cave Club NFT  in next 24 hours:\n\xf0\x9f\x9a\x80Follow\n\xf0\x9f\x9a\x80RT, Like and Comment your Metamask Wallet address'",bored ape cave club next hours like comment wallet address,next,bored ape cave club next hour like comment wallet address
2022-01-23 23:59:59+00:00,b'RT @Les_Veilleurs: \xf0\x9f\x8e\x89GOATED GAMERS\xf0\x9f\x8e\x89\n\nGiving away 1 #NFT to someone who completes the following in 24hrs\xe2\x8f\xb3\n\n\xe2\x9c\x94\xef\xb8\x8fLike + RT\n\n\xe2\x9c\x94\xef\xb8\x8fFollow @Goatedgamer\xe2\x80\xa6',away someone completes following,,away someone completes following
2022-01-23 23:59:59+00:00,b'RT @mbeNFT: \xe2\xad\x90\xef\xb8\x8fNFT Giveaway \xe2\xad\x90\xef\xb8\x8f\n\n\xe2\x80\xa2 @ThugMonkeyDC  NFT ( Worth 100 $ ) \n\nRules:\n1\xef\xb8\x8f\xe2\x83\xa3 Follow @ThugMonkeyDC  &amp; @mbeNFT\n2\xef\xb8\x8f\xe2\x83\xa3\xe2\x9d\xa4\xef\xb8\x8f&amp; RT\n3\xef\xb8\x8f\xe2\x83\xa3 Tag 2 Frenz\xe2\x80\xa6',giveaway worth follow amp amp tag,worth amp,giveaway worth follow amp amp tag
2022-01-23 23:59:59+00:00,b'RT @SoftMoonNFT: #Whitelist Giveaway !!!! \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\nI\xe2\x80\x99m giving 5 WL spots for @space_list #NFT \nTo Enter:\n1.Follow me and @space_list \n2.RT\nhttps:\xe2\x80\xa6',giveaway giving spots enter,,giveaway giving spot enter
2022-01-23 23:59:59+00:00,b'RT @PlaysideStudios: BEANS x SHIBA #NFT Giveaway!\n\nWe are giving away!\n50 WHITELIST SPOTS (Result in 48h)\n\nTo enter: \n1\xef\xb8\x8f\xe2\x83\xa3 Like and Retweet\xe2\x80\xa6',beans giveaway giving away spots result enter like,,bean giveaway giving away spot result enter like
